	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
symcomp10777	11	42	11	20	13	1
symcomp10778	10	13	5	5	5	0
symcomp10780	0	0	0	0	0	0
symcomp10781	6	4	3	6	5	0
symcomp10783	3	12	6	15	10	0
symcomp10784	12	68	21	88	29	5
symcomp10786	0	0	0	0	0	0
symcomp10787	0	0	0	0	0	0
symcomp10788	5	9	4	5	3	0
symcomp10789	8	9	3	8	4	0
symcomp10792	0	0	0	0	0	0
symcomp10794	4	4	3	4	4	0
symcomp10796	0	0	0	0	0	0
symcomp10798	0	0	0	0	0	0
symcomp10799	9	6	8	31	11	3
symcomp10800	1	8	0	7	4	0
symcomp10802	0	1	0	0	0	0
symcomp10804	0	0	0	0	0	0
symcomp10805	3	23	12	9	3	1
symcomp10806	0	0	0	0	0	0
symcomp10807	2	2	1	6	3	0
symcomp10808	2	2	2	0	0	0
symcomp10809	6	66	8	10	4	0
symcomp10810	4	12	3	6	5	0
symcomp10812	1	3	2	3	1	0
symcomp10813	0	2	2	5	0	0
symcomp10816	0	2	2	9	1	0
symcomp10818	2	11	1	3	4	0
symcomp10820	1	8	0	2	5	0
symcomp10821	3	18	0	6	6	0
symcomp10823	5	14	6	14	6	0
symcomp10825	7	18	6	5	10	0
symcomp10827	10	14	4	16	5	0
symcomp10828	0	0	0	0	0	0
symcomp1083	0	0	0	0	0	0
symcomp10830	0	0	0	2	0	0
symcomp10831	2	24	6	19	5	7
symcomp10834	6	26	12	19	20	18
symcomp10835	0	0	0	0	0	0
symcomp10836	12	15	9	27	18	1
symcomp10837	0	0	0	1	0	0
symcomp10838	0	2	1	5	2	1
symcomp10840	0	1	0	0	0	0
symcomp10845	0	0	0	0	0	0
symcomp10846	1	5	0	3	1	0
symcomp10849	0	0	0	0	0	0
symcomp10853	0	0	0	0	0	0
symcomp10858	2	4	0	6	4	0
symcomp10859	9	9	6	12	17	0
symcomp10862	23	76	17	41	16	0
symcomp108625	0	0	0	0	0	0
symcomp10863	0	0	0	0	0	0
symcomp10864	3	2	2	2	0	0
symcomp10869	0	7	0	0	0	1
symcomp10874	4	1	0	2	1	0
symcomp10875	3	0	0	0	2	0
symcomp10877	0	0	0	0	0	0
symcomp10879	1	3	0	2	1	0
symcomp1088	0	5	0	0	0	1
symcomp10880	0	14	0	3	2	0
symcomp108825	0	0	2	0	0	0
symcomp108833	0	0	0	0	0	0
symcomp10886	0	0	0	0	0	0
symcomp108899	0	0	0	0	0	0
symcomp10891	7	5	2	5	5	0
symcomp10892	1	3	1	1	3	0
symcomp10893	1	1	1	6	3	0
symcomp10896	0	1	0	0	0	0
symcomp10897	0	1	7	1	3	0
symcomp109	0	7	0	6	1	0
symcomp10900	0	0	0	0	0	0
symcomp10901	2	15	2	3	7	0
symcomp10902	7	8	1	8	8	0
symcomp10904	9	23	8	4	5	0
symcomp10905	0	0	0	1	0	0
symcomp10909	0	0	0	0	0	0
symcomp10910	9	7	10	6	6	1
symcomp10911	11	9	6	1	0	0
symcomp109112	0	11	0	2	9	0
symcomp10912	0	0	0	0	0	0
symcomp10913	13	11	6	11	8	0
symcomp10914	0	0	0	0	0	0
symcomp10915	0	0	0	0	2	0
symcomp10916	1	4	2	0	0	0
symcomp10917	0	0	0	0	0	0
symcomp10920	0	2	0	0	0	0
symcomp10921	0	0	0	5	0	0
symcomp109214	0	0	0	0	0	0
symcomp10922	0	0	0	0	0	0
symcomp10923	2	1	3	3	0	0
symcomp10924	0	2	0	0	0	0
symcomp10925	1	0	0	0	0	0
symcomp10926	0	8	0	0	0	0
symcomp10927	0	0	1	0	0	0
symcomp10928	0	0	0	0	0	0
symcomp1093	0	1	3	3	0	0
symcomp10932	0	0	0	0	0	0
symcomp10933	2	7	2	0	0	0
symcomp10935	0	0	0	0	0	0
symcomp109359	0	2	2	0	0	0
symcomp10936	0	0	0	0	0	0
symcomp10941	7	32	8	9	2	0
symcomp10942	0	0	1	0	0	0
symcomp10943	0	18	6	11	5	1
symcomp10944	5	13	5	13	6	0
symcomp10949	1	3	0	0	0	0
symcomp10957	0	0	9	0	1	0
symcomp10958	0	0	0	0	0	0
symcomp10964	0	0	0	0	0	0
symcomp10968	3	8	1	4	2	0
symcomp10970	0	7	2	11	10	0
symcomp10971	12	21	6	8	12	0
symcomp10975	4	13	12	9	13	0
symcomp10976	0	0	0	0	0	0
symcomp10977	7	5	3	2	2	0
symcomp10979	1	2	3	9	8	0
symcomp10980	3	7	0	1	3	0
symcomp10982	0	0	0	0	0	0
symcomp10984	0	2	0	1	1	0
symcomp10989	3	27	10	27	11	1
symcomp10990	0	5	0	0	0	0
symcomp10994	3	8	1	8	6	1
symcomp10995	0	8	5	9	12	1
symcomp10997	10	7	4	12	8	0
symcomp10998	0	8	5	15	5	0
symcomp10999	0	1	0	0	0	0
symcomp11002	0	0	0	0	0	0
symcomp11003	4	9	2	7	3	0
symcomp11004	2	9	4	2	0	0
symcomp11005	1	2	0	8	6	0
symcomp11006	0	8	7	6	4	0
symcomp11009	0	0	0	0	0	0
symcomp1101	0	0	0	0	0	0
symcomp11011	0	2	0	1	0	0
symcomp11012	0	0	0	0	2	0
symcomp11014	1	5	1	3	0	0
symcomp11015	0	2	1	1	0	0
symcomp11017	3	11	2	4	5	0
symcomp11018	0	3	0	2	0	0
symcomp11019	11	32	10	58	24	4
symcomp1102	0	0	2	0	0	0
symcomp11020	0	0	1	0	0	0
symcomp11021	0	0	0	0	0	0
symcomp11024	5	2	0	5	4	0
symcomp11026	6	18	1	10	3	0
symcomp11027	0	2	1	6	1	0
symcomp11029	0	0	0	0	0	0
symcomp11030	5	12	1	33	13	2
symcomp11035	1	7	5	11	7	1
symcomp11037	3	2	4	2	2	4
symcomp11038	4	11	2	6	2	0
symcomp11039	0	0	0	0	0	0
symcomp1104	0	0	0	0	0	0
symcomp11040	8	10	4	8	2	0
symcomp11047	4	17	1	3	3	0
symcomp1105	4	2	1	1	0	0
symcomp11052	2	13	3	5	6	1
symcomp11058	0	9	2	12	3	0
symcomp11059	5	23	13	19	7	4
symcomp1106	0	0	0	0	0	0
symcomp11061	11	63	5	3	7	0
symcomp11062	5	20	1	10	7	0
symcomp11063	0	0	0	0	1	0
symcomp11064	2	1	0	3	2	0
symcomp11068	0	0	0	0	0	0
symcomp110747	0	1	0	0	0	0
symcomp11075	0	0	0	0	0	0
symcomp11077	0	0	0	0	1	0
symcomp11078	4	1	1	0	0	0
symcomp11079	0	0	0	1	1	0
symcomp11081	0	3	0	3	2	0
symcomp11087	2	3	1	7	2	0
symcomp11088	1	3	7	2	2	0
symcomp11089	0	2	0	0	0	0
symcomp11090	0	0	1	0	0	0
symcomp11091	2	3	2	5	3	8
symcomp11093	0	0	1	1	0	0
symcomp11094	15	27	14	9	8	2
symcomp11096	0	0	0	0	0	0
symcomp11101	0	0	0	0	0	1
symcomp11102	6	2	0	7	7	0
symcomp11105	2	11	2	5	7	0
symcomp11108	0	2	0	3	0	0
symcomp11112	4	9	1	3	4	0
symcomp11115	3	34	8	8	6	0
symcomp11116	3	1	0	0	0	0
symcomp1112	1	4	4	10	5	0
symcomp11121	7	13	7	1	5	0
symcomp11124	5	20	3	13	4	0
symcomp11126	0	0	0	0	0	0
symcomp11127	16	67	16	20	22	0
symcomp11128	18	68	27	30	15	3
symcomp11129	12	6	4	8	11	0
symcomp11130	1	4	0	2	3	0
symcomp11134	1	4	0	7	0	0
symcomp11136	0	0	0	0	0	0
symcomp11137	0	2	0	0	0	0
symcomp11138	0	0	0	0	0	0
symcomp1114	0	4	0	1	0	0
symcomp11143	7	8	11	8	11	0
symcomp11144	9	2	7	5	5	6
symcomp11147	0	0	0	0	0	0
symcomp11156	2	7	1	9	8	2
symcomp11160	0	0	0	0	0	0
symcomp11162	6	6	9	6	1	0
symcomp11164	0	0	0	0	0	0
symcomp11165	5	22	10	12	10	0
symcomp11166	3	0	2	8	1	0
symcomp11168	3	10	1	2	3	0
symcomp11172	0	0	0	0	0	0
symcomp11175	9	1	2	6	4	1
symcomp11176	9	16	8	40	25	4
symcomp11181	4	21	2	14	5	0
symcomp11182	0	0	0	1	0	0
symcomp11183	0	0	0	0	0	0
symcomp11184	0	3	0	2	0	0
symcomp11186	7	26	12	8	11	0
symcomp11187	0	3	0	0	0	0
symcomp11194	0	11	4	7	4	0
symcomp11197	3	24	10	15	15	0
symcomp11198	4	8	2	1	4	0
symcomp11203	1	4	0	1	6	0
symcomp11205	12	17	8	16	2	0
symcomp11207	1	3	0	3	1	0
symcomp11212	0	1	0	0	0	0
symcomp11219	1	6	0	0	0	0
symcomp11221	1	0	0	0	0	0
symcomp11223	0	0	0	0	0	0
symcomp11226	6	40	24	14	16	0
symcomp11228	14	10	7	4	6	0
symcomp11232	0	0	0	0	0	0
symcomp11233	0	0	0	0	0	0
symcomp11236	1	20	2	1	1	1
symcomp11239	0	0	0	0	0	0
symcomp11242	2	2	0	5	1	1
symcomp11245	0	0	0	1	0	0
symcomp11247	0	0	0	0	0	0
symcomp11248	1	21	3	6	2	0
symcomp11251	3	2	1	10	3	0
symcomp11253	2	19	7	3	2	0
symcomp11256	2	7	5	4	0	0
symcomp11258	4	15	7	15	2	1
symcomp11260	4	0	0	1	1	1
symcomp11262	3	6	5	3	1	0
symcomp11263	2	11	4	91	23	2
symcomp11266	6	40	4	13	6	0
symcomp11268	8	3	0	1	0	0
symcomp11269	5	8	3	11	7	0
symcomp1127	0	0	0	0	0	0
symcomp11270	2	0	0	0	0	0
symcomp11273	0	0	0	0	0	0
symcomp11278	0	1	0	0	0	0
symcomp11283	8	15	3	22	11	0
symcomp11284	0	2	0	0	2	0
symcomp11285	0	0	0	0	0	0
symcomp11287	0	7	4	7	0	0
symcomp11288	0	0	0	0	0	0
symcomp11291	0	0	0	0	0	0
symcomp11292	3	5	2	15	5	2
symcomp11293	14	31	11	31	21	8
symcomp11295	1	3	0	4	0	0
symcomp11296	1	11	1	4	2	0
symcomp11297	0	0	0	0	0	0
symcomp11302	10	13	6	18	6	2
symcomp11305	9	20	6	8	7	1
symcomp11309	0	0	0	0	0	0
symcomp11310	1	1	1	8	6	0
symcomp11312	3	19	3	1	1	0
symcomp11314	0	0	0	0	0	0
symcomp11315	2	0	0	4	2	0
symcomp11316	1	10	4	5	2	0
symcomp11318	0	5	0	3	1	0
symcomp11320	3	14	2	4	7	0
symcomp113201	0	0	0	2	0	0
symcomp11323	9	10	2	6	2	0
symcomp11324	0	0	0	0	0	0
symcomp11326	2	5	2	5	1	0
symcomp11329	0	7	0	2	1	0
symcomp11331	9	16	3	7	2	0
symcomp11334	0	0	0	0	0	0
symcomp11335	0	0	0	0	0	0
symcomp11338	0	0	0	0	0	0
symcomp11339	2	1	0	14	5	0
symcomp11340	2	16	7	13	2	3
symcomp11342	2	2	1	5	1	4
symcomp11343	0	1	0	0	0	0
symcomp11347	2	0	0	0	0	0
symcomp11354	1	7	0	6	2	0
symcomp11355	1	0	2	0	0	0
symcomp11358	0	0	0	0	0	0
symcomp11359	3	12	5	9	1	0
symcomp11363	0	4	3	0	0	0
symcomp11367	5	5	2	2	0	0
symcomp11369	0	0	0	1	0	0
symcomp1137	1	4	0	0	0	0
symcomp11370	0	1	0	0	0	0
symcomp11376	4	8	3	19	10	3
symcomp11377	12	6	4	13	4	0
symcomp11379	0	0	0	0	2	0
symcomp11380	5	52	18	34	15	0
symcomp11384	2	11	1	9	9	0
symcomp11385	0	0	0	0	0	0
symcomp11386	2	2	0	0	0	0
