	NN1	NN2	NN3	UU1	UU2	UU3
SPU_003414	8	3	2	1	3	0
SPU_002106	1611	1704	1645	1734	1622	1594
SPU_002105	246	276	318	288	277	130
SPU_000878	11	24	5	9	8	3
SPU_000879	637	596	560	522	520	475
SPU_005852	361	399	423	310	259	168
SPU_026151	0	0	0	1	4	1
SPU_006468	0	1	0	0	0	0
SPU_007619	0	6	0	1	0	0
SPU_022666	0	0	3	0	0	0
SPU_028044	7	2	11	4	1	0
SPU_028045	39	44	31	34	48	25
SPU_028046	6700	7295	6736	7340	6949	6447
SPU_001344	952	970	1047	830	652	371
SPU_001343	0	0	0	0	0	1
SPU_003384	0	0	0	0	0	0
ENSRNA022742584	0	0	0	0	0	0
SPU_019541	61	79	91	53	22	23
SPU_023289	205	245	225	230	182	127
SPU_023288	30	42	30	51	28	14
SPU_021860	0	0	0	1	0	0
SPU_010131	308	326	435	363	233	131
SPU_009194	11	17	35	21	10	12
SPU_008479	0	2	0	0	0	1
SPU_022236	128	64	101	58	55	46
SPU_002153	91	110	145	87	79	47
SPU_002147	20	25	21	29	17	17
SPU_027787	0	0	0	2	0	0
SPU_027485	2	7	2	7	5	30
SPU_011309	1	4	0	8	2	6
SPU_011308	1	3	2	6	4	2
SPU_017324	0	0	0	0	0	0
SPU_030102.2	0	0	0	0	0	0
SPU_020666	0	0	0	0	0	0
SPU_030102.1	0	0	0	0	0	0
SPU_030101	0	0	0	0	0	0
SPU_030099	0	0	0	0	0	0
SPU_028294	2	0	1	1	3	4
SPU_000635	14	31	13	10	13	9
SPU_000636	1	3	0	2	1	2
SPU_027468	3	3	6	0	2	0
SPU_022943	0	1	0	2	1	0
SPU_022732	0	0	0	0	0	0
SPU_027747	8	4	6	3	1	3
SPU_022117	2	4	7	1	0	0
SPU_022125	5	1	8	1	2	0
SPU_003741	2	0	4	0	0	0
SPU_022124	3	0	0	0	0	0
SPU_022118	0	0	0	0	0	0
SPU_022119	1	1	4	3	1	2
SPU_022123	0	4	1	0	1	4
SPU_022122	1	1	0	0	0	0
SPU_022121	18	10	10	9	5	9
SPU_022120	0	0	1	0	0	0
SPU_024785	112	103	147	159	122	83
SPU_011647	14	11	15	21	28	6
SPU_009942	48	57	48	84	55	69
SPU_003132	178	159	149	133	117	130
SPU_003129	256	251	244	251	238	228
SPU_003128	45	68	45	42	50	23
SPU_003133	712	823	799	734	587	551
SPU_020372	8	7	16	8	9	7
SPU_020371	386	402	421	372	342	260
SPU_006046	0	1	1	0	0	0
SPU_007816	2	2	0	0	0	0
SPU_007819	8	11	7	1	2	3
SPU_007815	18	12	12	16	20	20
SPU_007820	8	12	17	8	11	4
SPU_007814	5	12	5	10	1	0
SPU_007813	273	256	273	343	228	153
SPU_007821	474	463	548	563	508	389
SPU_007822	5	2	3	0	0	0
SPU_013626	0	4	0	0	3	3
SPU_022744	0	0	0	0	0	0
SPU_013625	0	2	0	0	0	0
SPU_013623	7	5	7	5	2	5
SPU_013624	0	0	0	0	0	0
SPU_002931	0	0	1	0	2	1
SPU_020227	7	10	9	11	7	8
SPU_019921	9	13	11	7	8	11
SPU_008129	1	2	7	0	1	0
SPU_008128	46	45	40	77	54	42
SPU_010049	0	0	0	0	0	0
SPU_010048	0	0	0	0	0	0
SPU_023178	0	0	0	0	0	0
SPU_000346	3	5	22	9	11	6
SPU_008065	3	9	3	4	3	3
SPU_008066	18	18	24	31	19	24
SPU_023623	34	34	19	21	23	14
SPU_027352	334	306	337	358	274	173
SPU_011663	8	9	9	9	7	24
SPU_005871	288	261	293	333	250	155
SPU_017960	2	0	1	1	2	2
SPU_018953	5	4	2	7	6	2
SPU_018954	355	361	392	384	312	390
SPU_018952	37	50	56	38	25	20
SPU_004760	327	363	348	293	233	153
SPU_004761	48	44	52	17	18	18
ENSRNA022744077	0	0	0	0	0	0
ENSRNA022744083	0	0	0	0	0	0
ENSRNA022744081	0	0	0	0	0	0
ENSRNA022744085	0	0	0	0	0	0
ENSRNA022744089	0	0	0	1	0	0
SPU_016152	0	1	0	1	0	0
SPU_026179	10	16	14	14	10	13
SPU_002585	155	207	171	226	156	153
SPU_002586	194	175	196	151	155	138
SPU_027912	155	161	170	203	146	117
SPU_024902	142	132	135	133	106	128
SPU_024901	174	165	134	153	120	91
SPU_012258	1	0	1	4	0	0
SPU_014873	3	3	4	2	0	2
SPU_010646	8	10	14	10	5	6
