	fav_recoveryA	fav_recoveryB	fav_recoveryC	fav_stressA	fav_stressB	fav_stressC
isogroup10633	0	1	0	0	0	0
isogroup106352	45	2	21	28	7	4
isogroup106354	1	0	0	0	0	0
isogroup106358	0	0	0	0	0	0
isogroup106360	0	0	0	0	0	0
isogroup106362	2	0	0	0	2	0
isogroup106364	13	3	3	3	0	0
isogroup106367	0	0	0	0	0	0
isogroup10637	0	2	0	0	0	0
isogroup106374	56	5	10	16	4	8
isogroup106375	7	1	2	0	11	0
isogroup10638	78	2	17	3	6	1
isogroup106380	25	4	21	17	6	5
isogroup106382	14	0	9	1	6	4
isogroup106390	4	0	0	2	0	4
isogroup106411	145	7	36	45	24	15
isogroup106418	0	0	0	0	0	0
isogroup106447	0	0	0	0	0	0
isogroup10647	36	8	7	34	0	14
isogroup106476	31	3	0	1	2	0
isogroup10649	50	0	52	23	9	3
isogroup106490	0	0	0	0	0	0
isogroup10650	0	0	0	0	0	0
isogroup106516	171	52	43	36	16	24
isogroup106533	0	0	0	0	0	0
isogroup106551	1	2	0	0	0	0
isogroup106570	14	0	13	4	0	0
isogroup106587	1	0	0	0	0	0
isogroup106601	22	0	17	7	1	2
isogroup106638	0	0	0	0	0	0
isogroup10665	1	2	0	0	0	0
isogroup106652	3	0	0	2	1	0
isogroup106654	1	0	0	1	0	0
isogroup106673	0	0	0	0	0	0
isogroup106712	0	0	0	0	0	0
isogroup106716	5	0	0	1	0	0
isogroup10673	59	3	13	5	3	10
isogroup106734	0	0	0	0	0	0
isogroup106753	3	0	0	0	0	0
isogroup106755	12	1	4	13	13	0
isogroup106764	0	0	0	0	0	0
isogroup106800	1	0	0	0	0	0
isogroup106801	12	2	4	0	3	0
isogroup106813	40	2	1	13	3	3
isogroup106827	0	0	0	1	0	0
isogroup106841	0	0	0	0	0	0
isogroup106845	7	0	0	1	7	0
isogroup106855	1	0	0	0	0	0
isogroup106863	5	1	1	4	1	1
isogroup106864	0	0	0	0	0	0
isogroup106873	3	0	0	0	0	1
isogroup106880	0	0	0	0	0	0
isogroup106908	2	0	1	1	1	0
isogroup106909	1	0	0	3	0	0
isogroup106931	1	0	0	1	0	0
isogroup106937	0	0	0	1	1	2
isogroup10694	0	0	1	0	0	0
isogroup106949	2	0	0	0	0	0
isogroup10695	20	0	28	16	7	17
isogroup106954	2	0	2	0	1	4
isogroup106959	0	0	1	2	0	0
isogroup106981	0	0	1	0	0	0
isogroup107012	3	0	0	4	0	0
isogroup107017	2	0	0	0	0	0
isogroup107045	6	0	6	0	1	2
isogroup107046	20	2	3	3	2	1
isogroup107048	109	8	35	18	14	4
isogroup107059	26	8	15	14	3	2
isogroup107070	2	0	0	0	0	0
isogroup107071	10	0	2	0	0	0
isogroup107077	0	0	0	0	0	0
isogroup107078	0	0	0	0	0	0
isogroup107092	4	0	1	0	0	0
isogroup10712	48	0	3	15	5	11
isogroup107130	0	0	1	0	0	0
isogroup107131	11	1	0	1	1	0
isogroup107156	1	0	0	0	0	0
isogroup107161	43	7	25	5	8	3
isogroup107164	91	8	62	49	16	7
isogroup107178	1	0	0	6	0	1
isogroup10718	20	5	3	9	9	0
isogroup107199	0	0	0	1	0	0
isogroup1072	0	0	0	0	0	0
isogroup107211	0	0	0	0	0	0
isogroup107245	51	1	9	9	12	6
isogroup107255	0	0	0	0	1	0
isogroup107265	3	0	0	0	0	0
isogroup107267	0	0	0	2	0	0
isogroup107270	0	0	0	0	0	0
isogroup107283	0	0	0	0	0	0
isogroup107290	5	0	0	3	4	0
isogroup107300	16	0	3	5	0	0
isogroup107305	7	0	0	0	0	0
isogroup107332	1	0	0	0	0	0
isogroup10738	4	2	0	0	0	0
isogroup107386	0	0	0	2	0	0
isogroup107399	4	0	0	0	1	0
isogroup107402	0	0	0	0	0	0
isogroup107409	1	0	0	0	0	0
isogroup10742	0	0	0	0	0	0
isogroup107425	0	0	0	1	0	0
isogroup10743	104	3	19	13	12	3
isogroup107431	0	0	0	0	1	0
isogroup107448	1	0	0	0	0	0
isogroup107453	0	0	0	2	0	0
isogroup107463	2	0	0	0	0	0
isogroup107486	1	0	0	0	0	0
isogroup107500	1	1	7	5	0	0
isogroup107514	0	0	0	0	0	0
isogroup107520	0	0	0	0	0	0
isogroup107537	0	0	0	0	0	0
isogroup107541	4	0	0	1	0	0
isogroup107544	0	0	0	0	0	0
isogroup107566	598	66	486	197	114	41
isogroup107582	19	3	3	5	4	0
isogroup107596	5	0	0	0	0	0
isogroup107606	3	0	0	0	1	0
isogroup107607	0	0	0	0	0	0
isogroup107614	10	0	0	0	0	0
isogroup107628	8	2	0	0	1	1
isogroup107644	13	2	5	5	3	0
isogroup107665	2	0	0	0	0	0
isogroup107705	0	0	1	0	0	0
isogroup107743	0	1	0	0	0	0
isogroup10775	119	0	34	21	10	8
isogroup107750	0	0	0	0	0	0
isogroup107760	3	0	0	4	5	0
isogroup107779	4	0	0	0	0	0
isogroup107803	11	0	0	0	1	0
isogroup10782	1	0	0	0	0	0
isogroup107836	1	0	0	0	0	0
isogroup107859	4	4	5	2	0	0
isogroup10786	0	0	0	0	0	0
isogroup107893	82	9	46	24	10	3
isogroup107894	56	3	24	18	23	13
isogroup107939	1	0	0	1	0	0
isogroup107950	1	0	3	0	0	0
isogroup107952	0	0	0	0	0	0
isogroup107957	0	0	0	1	0	0
isogroup107960	4	0	0	0	1	0
isogroup107972	78	3	17	9	4	7
isogroup107977	0	0	0	0	0	0
isogroup10799	304	7	70	59	35	37
isogroup107992	0	0	0	0	0	0
isogroup108	6	0	0	0	0	4
isogroup1080	0	0	0	0	0	0
isogroup10800	0	0	0	0	0	0
isogroup108015	0	0	0	3	0	0
isogroup108025	51	8	87	21	21	7
isogroup108037	0	0	0	0	0	0
isogroup108039	0	0	0	0	0	0
isogroup108071	0	0	0	0	0	0
isogroup108117	0	0	0	0	0	0
isogroup108119	1	0	0	0	0	0
isogroup108126	2	0	10	1	0	0
isogroup108143	26	0	0	0	0	0
isogroup108144	0	0	0	0	0	0
isogroup108149	0	0	0	0	0	0
isogroup108185	24	0	2	4	1	0
isogroup108186	6	3	0	0	0	0
isogroup108190	0	0	0	0	0	0
isogroup108207	7	0	0	0	0	0
isogroup108220	14	0	1	3	0	0
isogroup10825	161	18	112	104	29	10
isogroup108254	74	34	141	39	20	1
isogroup108274	4	0	0	0	0	0
isogroup108297	0	0	0	1	0	0
isogroup108304	6	0	0	0	0	0
isogroup10835	33	23	10	5	2	8
isogroup108350	5	0	0	0	0	0
isogroup108361	0	0	0	0	0	0
isogroup10839	11	1	1	2	1	0
isogroup108396	0	0	0	0	0	0
