,Control_1,Hot_1,Control_2,Hot_2
isogroup261186,124,571,169,684
isogroup261187,79,464,82,437
isogroup261189,413,2421,563,2948
isogroup26119,0,32,1,4
isogroup261191,32,190,30,144
isogroup261192,183,1118,199,1307
isogroup261193,552,3439,621,3285
isogroup261197,161,329,125,456
isogroup261198,12,107,28,96
isogroup261205,527,3520,719,3185
isogroup261206,91,452,163,546
isogroup261211,255,1624,210,1448
isogroup261214,94,714,117,633
isogroup261217,1315,7048,1526,8334
isogroup261219,536,3615,705,3608
isogroup261222,34,275,57,302
isogroup261223,9,66,22,110
isogroup261224,97,699,51,488
isogroup261226,42,199,55,241
isogroup261227,31,228,32,170
isogroup261230,44,437,76,587
isogroup261231,56,572,83,281
isogroup261232,265,1570,378,1714
isogroup261233,1417,8437,1881,9223
isogroup261234,1057,6615,1216,5710
isogroup261237,165,724,175,815
isogroup261238,253,1678,263,1727
isogroup261240,133,762,131,938
isogroup261241,88,266,50,204
isogroup261243,120,489,70,418
isogroup261245,175,841,268,1173
isogroup261246,306,2195,343,2196
isogroup261249,68,229,42,264
isogroup261250,92,611,119,476
isogroup261251,95,685,132,744
isogroup261252,50,209,64,265
isogroup261254,286,1450,477,1839
isogroup261255,9,75,32,131
isogroup261257,57,225,43,224
isogroup261259,42,284,66,353
isogroup261260,835,4947,1137,5518
isogroup261262,65,411,121,582
isogroup261264,37,284,51,300
isogroup261265,181,1388,289,1603
isogroup261267,80,514,180,925
isogroup261269,359,2441,436,2356
isogroup261270,237,1387,412,1748
isogroup261271,350,1772,490,2253
isogroup261272,32,73,27,134
isogroup261274,109,621,233,748
isogroup261275,346,2231,398,2141
isogroup261276,30,179,46,181
isogroup261278,323,2214,388,2572
isogroup261279,166,1409,469,1994
isogroup261280,16,94,17,82
isogroup261281,122,553,122,666
isogroup261283,78,562,113,579
isogroup261284,512,3382,707,3015
isogroup261285,2295,15077,3350,20391
isogroup261286,1015,4648,1516,3616
isogroup261287,225,1274,371,1525
isogroup261288,422,2056,688,2694
isogroup261290,250,910,393,899
isogroup261291,384,2025,477,2308
isogroup261294,258,965,309,1061
isogroup261297,192,1023,166,682
isogroup261298,4712,27858,7150,36607
isogroup261299,147,380,189,343
isogroup261300,9,82,14,78
isogroup261301,118,486,115,497
isogroup261302,20,123,32,177
isogroup261304,107,683,158,771
isogroup261305,445,3283,495,3221
isogroup261308,183,1548,202,1283
isogroup261309,416,2049,463,2163
isogroup261310,29,224,36,240
isogroup261312,351,1609,531,1794
isogroup261313,146,551,137,425
isogroup261315,544,2620,646,2813
isogroup261317,313,1859,345,1644
isogroup261318,79,381,92,505
isogroup261320,415,2321,617,2619
isogroup261321,2694,10153,3444,14255
isogroup261322,332,2352,457,2535
isogroup261323,130,849,111,1035
isogroup261324,534,2879,557,3116
isogroup261326,516,2548,706,2738
isogroup261327,239,780,347,1067
isogroup261330,181,940,256,1092
isogroup261331,60,306,82,385
isogroup261333,1706,5053,2254,7051
isogroup261335,75,796,139,672
isogroup261339,89,654,103,588
isogroup261342,457,2078,765,2760
isogroup261344,351,1942,401,2121
isogroup261345,137,1223,181,1237
isogroup261346,196,1193,310,1397
isogroup261347,294,1566,407,2073
isogroup261351,40,331,27,222
isogroup261352,358,1787,569,1764
isogroup261355,20,143,40,133
isogroup261358,67,714,131,786
isogroup261361,119,655,130,715
isogroup261367,27,234,31,252
isogroup261369,953,5926,1341,6162
isogroup261371,62,300,33,113
isogroup261373,158,736,101,713
isogroup261375,1700,6745,1003,6278
isogroup261376,10,102,19,157
isogroup261377,271,1403,359,1505
isogroup261379,421,2101,455,2312
isogroup261380,304,1406,338,1321
isogroup261381,1147,7550,1653,9162
isogroup261382,435,2464,498,2780
isogroup261383,292,1683,351,2219
isogroup261384,137,870,230,926
isogroup261385,57,104,42,175
isogroup261388,46,300,87,358
isogroup261390,156,700,256,847
isogroup261391,2072,12635,3100,16171
isogroup261392,105,165,133,221
isogroup261394,176,1346,74,220
isogroup261395,131,1049,270,1176
isogroup261398,1127,6008,1377,7024
isogroup261399,23,123,105,524
isogroup261400,38,135,28,116
isogroup261404,38,218,95,283
isogroup261405,59,420,116,535
isogroup261407,252,1270,290,1745
isogroup261408,78,583,171,731
isogroup261412,191,1068,180,1080
isogroup261413,473,2339,763,2746
isogroup261414,79,543,197,536
isogroup261415,165,978,268,1143
isogroup261416,22,130,38,168
isogroup261417,738,6016,1140,6080
isogroup261420,200,1076,276,1277
isogroup261423,695,3792,1078,4305
isogroup261424,216,1228,280,1265
isogroup261425,48,259,61,257
isogroup261426,2338,10397,1856,8649
isogroup261427,42,632,51,525
isogroup261430,132,116,46,91
isogroup261434,72,476,55,358
isogroup261436,14,175,36,193
isogroup261437,127,600,118,619
isogroup261438,97,423,99,547
isogroup261440,959,5486,1534,8919
isogroup261441,37,235,42,228
isogroup261443,56,245,46,189
isogroup261444,86,729,123,627
isogroup261445,492,2326,603,2485
isogroup261446,368,3521,586,4307
isogroup261449,46,245,91,412
isogroup261450,27,173,44,217
isogroup261451,114,815,63,434
isogroup261452,12,94,12,101
isogroup261453,42,272,42,222
isogroup261454,534,2796,578,2480
isogroup261455,410,2377,525,2561
isogroup261458,604,4965,918,3978
isogroup261459,1003,6252,1426,7167
isogroup261462,218,1547,218,1536
isogroup261464,145,630,131,586
isogroup261465,144,656,184,746
isogroup261466,81,381,88,581
isogroup261468,434,2684,638,3215
isogroup261471,152,1092,249,1374
isogroup261472,238,1398,388,1633
isogroup261473,230,1136,248,1259
isogroup261474,205,989,258,1082
isogroup261475,2224,16613,3262,19243
isogroup261476,35,156,28,147
isogroup261478,381,2300,457,2292
isogroup261479,189,1116,230,1223
isogroup261480,560,2675,902,3473
isogroup261485,225,1407,343,1473
isogroup261486,590,2373,594,1917
isogroup261487,310,1431,485,1408
isogroup261488,217,1347,361,1473
isogroup261489,660,3588,1078,4090
isogroup261490,49,402,101,520
isogroup261491,35,144,21,93
isogroup261493,348,2376,517,2561
isogroup261497,34,416,38,421
isogroup261498,657,2041,385,2600
isogroup261499,171,859,133,817
isogroup261501,202,1075,371,1475
isogroup261502,416,2029,715,2317
isogroup261504,1038,6183,1580,7227
isogroup261505,40,205,41,240
isogroup261506,103,522,212,830
isogroup261507,98,466,129,559
isogroup261508,77,538,109,632
isogroup261509,95,392,166,436
isogroup26151,3,140,10,51
isogroup261511,119,776,122,681
isogroup261514,275,1441,579,1975
isogroup261516,220,1231,280,1480
isogroup261518,379,1988,564,2143
isogroup261519,114,716,153,767
isogroup261520,101,563,99,610
isogroup261522,126,1579,234,1518
isogroup261523,195,859,299,931
isogroup261525,57,125,92,214
isogroup261526,764,4708,1144,5784
isogroup261527,18,111,20,136
isogroup261529,1996,10419,2280,7639
isogroup261531,326,1645,303,1373
isogroup261534,133,592,108,719
isogroup261535,60,362,113,325
isogroup261538,343,1820,558,1932
isogroup261540,31,276,53,565
isogroup261542,188,1020,342,1147
isogroup261544,103,651,215,797
isogroup261545,71,490,63,449
isogroup261546,70341,1380,73486,191
isogroup261547,481,3605,490,3346
isogroup261548,182,1375,301,1777
isogroup261550,46,402,63,355
isogroup261551,368,2053,570,2447
isogroup261552,128,627,139,605
isogroup261558,36,243,41,233
isogroup261559,273,1100,252,1036
isogroup261560,168,862,217,1101
isogroup261562,286,1837,281,1676
isogroup261563,133,1148,290,1347
isogroup261564,231,1392,110,1026
isogroup261566,64,275,88,496
isogroup261567,279,1855,563,1993
isogroup261568,966,5803,1347,5580
isogroup261569,65,397,89,425
isogroup261572,723,3708,904,3885
isogroup261573,660,4249,646,3868
isogroup261574,2868,11729,3105,13331
isogroup261575,62,445,40,320
isogroup261577,38,171,49,234
isogroup261580,50,341,107,430
isogroup261581,342,1938,404,1950
isogroup261583,95,655,75,557
isogroup261584,3262,8712,2165,7667
isogroup261586,147,893,202,1006
isogroup261587,132,2144,67,701
isogroup261588,198,1402,210,1408
isogroup261589,347,1508,531,2807
isogroup261595,341,1873,334,4487
isogroup261597,393,3184,692,3585
isogroup261598,744,6276,1143,6844
isogroup261604,795,3555,785,2889
isogroup261606,221,1069,220,978
isogroup261607,1811,7180,2625,8203
isogroup261608,190,821,425,1251
isogroup261610,67,420,46,313
isogroup261616,113,784,140,844
isogroup261617,205,934,283,1000
isogroup261618,560,4101,658,3868
isogroup261619,590,3159,876,3483
isogroup261621,240,1196,355,1435
isogroup261624,40,249,26,116
isogroup261625,49,447,82,420
isogroup261627,122,921,230,1178
isogroup261629,573,3255,688,3029
isogroup26163,1,8,1,11
isogroup261630,1093,5683,1655,6472
isogroup261632,78,623,112,393
isogroup261634,125,1012,156,1222
isogroup261636,70,472,72,453
isogroup261638,60,542,71,273
isogroup261642,211,731,225,613
isogroup261644,9,63,7,91
isogroup261645,701,3012,636,2217
isogroup261649,262,1539,407,1599
isogroup261650,4,41,3,34
isogroup261654,135,1098,312,1399
isogroup261655,362,2215,778,3428
isogroup261657,537,2936,866,3665
isogroup261658,123,597,49,371
isogroup261659,50,217,40,317
isogroup261665,18,179,19,117
isogroup261666,423,1604,614,2101
isogroup261671,177,1254,228,1445
isogroup261672,175,2376,268,1034
isogroup261673,4286,15746,5641,18704
isogroup261678,57,465,72,511
isogroup261680,842,6322,1161,6805
isogroup261681,115,844,122,731
isogroup261682,31,171,71,221
isogroup261684,74,313,80,273
isogroup261687,2196,10668,2857,12075
isogroup261689,238,1709,376,2184
isogroup261690,342,3200,396,3099
isogroup261691,102,712,131,674
isogroup261692,957,8296,1326,9759
isogroup261696,18,182,18,186
isogroup261699,4514,16350,6869,21129
isogroup261700,8,40,8,45
isogroup261701,835,3880,1185,5051
isogroup261702,181,848,197,843
isogroup261703,568,2718,691,3245
isogroup261705,50,236,37,227
isogroup261708,770,5235,1153,5426
isogroup261710,29,189,60,249
isogroup261712,103,390,138,402
isogroup261715,271,1299,601,1717
isogroup261717,288,1739,301,1525
isogroup261718,853,4832,1068,6656
isogroup261719,153,805,138,699
isogroup261723,339,3082,432,2762
isogroup261724,85,1024,143,938
isogroup261726,396,2395,441,2242
isogroup261730,302,4,296,1
isogroup261731,152,975,155,911
isogroup261733,842,3268,958,4097
isogroup261735,37,343,56,337
isogroup261737,198,337,302,645
isogroup261738,19,88,19,63
isogroup261739,59,509,66,453
isogroup261741,467,1786,519,2459
isogroup261743,124,657,178,644
isogroup261744,145,521,82,416
isogroup261746,800,3510,899,4506
isogroup261756,277,2672,285,1740
isogroup261757,532,2308,382,2009
isogroup261758,74,351,55,280
isogroup261759,120,796,77,517
isogroup261760,785,4743,1189,5110
isogroup261761,533,2577,622,2980
isogroup261762,26,120,21,112
isogroup261765,535,2540,419,1914
isogroup261766,9,73,24,87
isogroup261767,209,1303,539,1786
isogroup261768,127,782,85,619
isogroup261770,34,280,36,271
isogroup261771,500,2843,682,3033
isogroup261772,216,3533,214,2914
isogroup261774,77,318,109,440
isogroup261780,300,632,149,447
isogroup261782,341,1701,437,1764
isogroup261783,619,3587,872,3852
isogroup261784,326,2193,429,2258
isogroup261785,254,1036,373,1307
isogroup261786,314,1859,317,1552
isogroup261788,385,2107,152,1657
isogroup261789,149,693,273,770
isogroup261791,96,628,110,679
isogroup261792,347,1436,467,1514
isogroup261793,390,2412,518,2582
isogroup261794,326,1200,313,1304
isogroup261796,521,1125,222,1331
isogroup261797,13501,61554,21464,78627
isogroup261801,346,1897,514,2132
isogroup261802,422,1869,673,2158
isogroup261803,216,6,254,1
isogroup261805,12,67,28,74
isogroup261807,33,445,101,651
isogroup261808,165,790,191,878
isogroup261810,151,1345,241,1325
isogroup261811,6910,32104,9680,36870
isogroup261813,907,4739,1331,6843
isogroup261814,164,847,288,1007
isogroup261815,8572,25704,10757,33774
isogroup261818,737,4484,1069,4278
isogroup261819,4061,30185,5639,32103
isogroup261820,785,4284,946,4981
isogroup261821,918,8207,836,4995
isogroup261822,59,452,105,404
isogroup261823,333,2214,544,3222
isogroup261824,410,1395,449,1305
isogroup261825,233,1570,435,1819
isogroup261826,216,1053,225,1101
isogroup261828,1134,6160,1434,7419
isogroup261831,35,128,45,197
isogroup261833,138,4,178,0
isogroup261834,409,3460,606,3987
isogroup261835,398,1896,520,2392
isogroup261839,51,445,120,583
isogroup261840,305,1216,334,1414
isogroup261842,178,1191,328,1435
isogroup261844,309,1619,426,1703
isogroup261845,31,239,32,202
isogroup261849,100,493,136,672
isogroup261852,2645,14120,3390,14693
isogroup261854,587,3697,486,3099
isogroup261855,1685,9318,2400,9724
isogroup261856,200,1112,173,1107
isogroup261857,25,326,11,249
isogroup261860,772,4640,959,4987
isogroup261861,380,2244,627,2600
isogroup261862,123,681,89,671
isogroup261863,122,423,178,637
isogroup261864,1001,8225,1350,9236
isogroup261865,202,1189,303,1428
isogroup261868,69,578,84,603
isogroup261870,153,391,278,477
isogroup261871,106,506,151,575
isogroup261873,61,350,76,306
isogroup261874,15,108,56,353
isogroup261875,68,550,110,572
isogroup261878,335,2183,445,2269
isogroup261879,156,990,218,1070
isogroup261881,73,424,103,537
isogroup261882,108,399,87,405
isogroup261883,146,1081,154,960
isogroup261884,174,958,303,1116
isogroup261887,212,1221,189,1286
isogroup261889,316,2331,429,2260
isogroup261891,135,729,139,550
isogroup261892,817,4720,1320,4721
isogroup261893,185,1023,262,867
isogroup261894,60,151,136,258
isogroup261895,43,305,78,381
isogroup261896,75,1087,87,968
isogroup261899,55,255,33,258
isogroup261900,518,3124,827,3883
isogroup261902,71,597,58,419
isogroup261903,132,570,165,624
isogroup261904,94,691,128,809
isogroup261906,54,495,42,467
isogroup261908,110,642,175,872
isogroup261910,43,253,32,239
isogroup261911,101,382,116,481
isogroup261912,1293,6096,1265,5344
isogroup261914,371,1956,454,2151
isogroup261916,928,5276,1145,5242
isogroup261917,335,2096,158,1187
isogroup261918,137,994,111,845
isogroup261919,295,1753,502,2707
isogroup261920,351,1983,476,2355
isogroup261921,24,334,36,326
isogroup261925,431,2325,304,2875
isogroup261927,41,352,62,269
isogroup261928,1122,5751,1255,7331
isogroup261936,346,1923,420,1848
isogroup261937,1489,11169,1614,10467
isogroup261938,447,3446,820,5430
isogroup261939,1143,3729,936,8397
isogroup261940,57,215,63,245
isogroup261943,1009,6850,1445,8258
isogroup261946,153,899,127,645
isogroup261947,37,255,49,219
isogroup261950,131,864,198,1106
isogroup261951,115,698,217,1078
isogroup261953,520,2853,618,2798
isogroup261954,527,1718,595,1809
isogroup261958,535,3386,759,3728
isogroup261959,43,321,48,266
isogroup261960,124,1139,148,1045
isogroup261962,135,583,149,581
isogroup261964,477,2411,609,2318
isogroup261965,58,202,114,226
isogroup261967,1117,5344,1499,6249
isogroup261968,38,386,58,410
isogroup261972,95,651,119,759
isogroup261973,26,180,24,116
isogroup261974,163,564,139,610
isogroup261976,190,1075,197,1061
isogroup261981,118,1154,111,978
isogroup261982,1115,6783,1533,7809
isogroup261983,355,2161,586,2464
isogroup261984,6,42,16,81
isogroup261985,32,175,74,211
isogroup261989,1251,7903,1673,8999
isogroup261990,296,922,297,935
isogroup261993,908,5529,1246,8609
isogroup261994,201,507,273,1001
isogroup261995,336,1869,408,2121
isogroup261996,144,1182,140,922
isogroup261997,141,836,203,1024
isogroup261998,174,796,255,1056
isogroup261999,823,4067,1115,5208
isogroup262002,477,2135,713,2776
isogroup262003,340,2211,389,2046
isogroup262006,22,173,35,171
isogroup262008,1302,6750,1603,7733
isogroup262011,245,1621,294,1583
isogroup262013,181,961,278,974
isogroup262016,795,5805,1046,5466
isogroup262017,145,1374,118,824
isogroup262018,22,141,61,181
isogroup262020,376,2438,611,2918
isogroup262024,97,513,91,516
isogroup262027,57,397,29,317
isogroup262029,397,2216,504,2492
isogroup262030,114,504,165,618
isogroup262033,114,439,81,462
isogroup262035,333,1896,456,2083
isogroup262036,739,3919,1144,4684
isogroup262038,695,3421,898,3346
isogroup262039,175,1957,182,1901
isogroup262041,905,5902,1130,6342
isogroup262044,368,1945,816,3841
isogroup262046,233,1206,341,1300
isogroup262048,706,4143,784,4260
isogroup262049,92,843,124,781
isogroup262050,79,378,218,442
isogroup262052,139,823,157,730
isogroup262053,243,1642,383,1922
isogroup262056,11,53,22,53
isogroup262059,1929,8086,2973,10427
isogroup262060,76,423,153,499
isogroup262065,127,850,99,600
isogroup262067,261,1222,336,1503
isogroup262070,412,2959,706,3694
isogroup262071,75,558,87,550
isogroup262072,158,795,218,826
isogroup262073,28,122,32,174
isogroup262074,26,126,149,58
isogroup262077,451,1995,495,2271
isogroup262078,83,517,161,838
isogroup262080,11,44,5,53
isogroup262081,414,2787,363,2722
isogroup262084,849,17,754,5
isogroup262086,209,1194,210,1186
isogroup262088,97,820,50,395
isogroup262089,13,77,26,80
isogroup262091,201,1278,304,1428
isogroup262092,147,772,241,1060
isogroup262094,98,731,174,470
isogroup262096,40,298,56,250
isogroup262098,690,992,315,1774
isogroup262099,184,1212,252,1386
isogroup262100,848,4330,691,5190
isogroup262101,116,587,139,618
isogroup262105,43,365,71,373
isogroup262106,22,174,67,201
isogroup262107,4229,8134,6595,6838
isogroup262111,610,2409,514,4152
isogroup262112,490,2884,595,3343
isogroup262113,233,1554,362,1721
isogroup262116,14,109,15,106
isogroup262117,178,1249,241,1236
isogroup262118,40,196,78,193
isogroup262119,228,1188,307,1281
isogroup262121,96,363,106,484
isogroup262123,7,37,28,63
isogroup262128,306,1952,481,2287
isogroup262131,539,3752,713,4182
isogroup262135,128,923,97,823
isogroup262136,334,2023,559,3122
isogroup262137,20,147,13,64
isogroup262138,72,225,90,194
isogroup262140,54,486,22,105
isogroup262141,186,978,251,1311
isogroup262142,141,819,172,897
isogroup262145,451,2920,562,3324
isogroup262146,89,387,84,346
isogroup262147,42,295,65,252
isogroup262149,180,804,181,865
isogroup262150,285,1456,508,1492
isogroup262151,169,889,237,924
isogroup262152,460,3640,793,4235
isogroup262154,71,703,97,791
isogroup262155,229,1369,254,1422
isogroup262159,75,693,126,494
isogroup262160,139,646,185,869
isogroup262161,97,1135,54,606
isogroup262163,70,429,71,400
isogroup262165,1661,6842,1384,8534
isogroup262166,222,1247,291,1399
isogroup262167,965,7295,1453,9406
isogroup262168,101,554,168,579
isogroup262169,72,287,77,275
isogroup262170,106,640,91,498
isogroup262171,547,2712,660,3155
isogroup262172,156,633,162,656
isogroup262175,1064,5288,1295,5854
isogroup262177,450,1930,481,1461
isogroup262179,297,1678,419,1848
isogroup262180,226,1124,377,1811
isogroup262182,133,630,178,688
isogroup262183,272,1413,324,1589
isogroup262184,1554,10233,1809,8173
isogroup262189,140,882,215,1254
isogroup262191,44,325,39,235
isogroup262195,95,518,65,252
isogroup262197,108,661,132,740
isogroup262198,994,4560,1093,3834
isogroup262199,260,1309,381,1197
isogroup262201,439,2470,583,2778
isogroup262202,29,121,54,82
isogroup262203,43,329,75,241
isogroup262205,67,506,114,736
isogroup262206,102,654,160,788
isogroup262207,458,2394,855,3699
isogroup262209,286,1423,349,1582
isogroup262210,649,3645,840,4326
isogroup262211,584,2992,629,3374
isogroup262212,574,2653,692,3240
isogroup262214,46,212,42,264
isogroup262215,45,98,48,134
isogroup262216,511,3361,758,5312
isogroup262217,421,1527,532,1714
isogroup262220,44,140,20,82
isogroup262221,867,4237,1210,5039
isogroup262222,295,1710,284,1399
isogroup262224,160,949,235,740
isogroup262225,390,1898,404,2215
isogroup262228,27,177,32,108
isogroup262230,232,1410,318,1450
isogroup262231,243,1295,291,1356
isogroup262232,19,54,15,68
isogroup262233,4817,28045,6084,28142
isogroup262235,1638,8670,2335,10093
isogroup262237,26,184,34,104
isogroup262238,368,2239,302,2016
isogroup262240,328,1692,480,1999
isogroup262243,90,793,148,722
isogroup262244,228,1743,354,2380
isogroup262253,83,454,48,276
isogroup262255,781,5883,789,5197
isogroup262256,159,1193,246,1033
isogroup262257,638,3123,539,3773
isogroup262259,117,740,81,515
isogroup262260,454,2061,500,2146
isogroup262262,806,4243,1129,4747
isogroup262263,34,239,59,298
isogroup262264,1719,10301,2939,11587
isogroup262265,89,446,119,663
isogroup262266,84,610,40,297
isogroup262268,61,310,81,360
isogroup262270,63,438,82,495
isogroup262275,28,229,23,109
isogroup262276,125,866,143,896
isogroup262278,733,2500,411,1816
isogroup262282,75,399,88,476
isogroup262283,205,1448,272,1743
isogroup262284,78,535,87,521
isogroup262285,481,1471,169,2288
isogroup262286,157,790,131,764
isogroup262288,237,1669,265,1468
isogroup262291,114,588,139,614
isogroup262293,254,1222,281,1308
isogroup262296,310,1997,271,2045
isogroup262297,648,3570,1002,4210
isogroup262298,80,280,53,494
isogroup262301,2123,14643,2697,15332
isogroup262302,618,2613,851,3341
isogroup262308,64,366,35,294
isogroup262309,77,418,91,360
isogroup262312,587,2695,951,4083
isogroup262315,19,349,14,156
isogroup262316,55,443,91,658
isogroup262317,306,2342,425,2380
isogroup262318,209,1483,274,1572
isogroup262319,92,610,96,591
isogroup262320,12683,92742,9403,66608
isogroup262321,260,1750,237,1616
isogroup262324,281,1745,322,1785
isogroup262326,2816,22294,3661,23641
isogroup262327,1296,7158,1310,5461
isogroup262329,205,549,145,486
isogroup262330,50,110,72,196
isogroup262333,37,165,52,137
isogroup262334,151,1078,169,933
isogroup262337,39,388,62,302
isogroup262338,12,109,12,84
isogroup262339,144,518,147,580
isogroup262342,119,936,99,733
isogroup262345,261,1219,376,1678
isogroup262346,567,3115,757,3213
isogroup262347,481,1891,604,2287
isogroup262348,433,2290,436,2267
isogroup262350,130,302,127,445
isogroup262355,225,1555,342,2079
isogroup262356,862,4774,966,5027
isogroup262357,68,508,78,360
isogroup262358,42,289,49,305
isogroup262359,727,4824,897,4681
isogroup262360,605,4165,670,3967
isogroup262361,203,1331,114,1096
isogroup262364,114,283,190,1071
isogroup262366,832,4764,1186,5269
isogroup262367,273,1655,311,1895
isogroup262369,268,1434,236,1275
isogroup262370,73,359,101,398
isogroup262371,385,2335,507,2616
isogroup262372,78,516,64,399
isogroup262373,197,1122,188,1018
isogroup262374,213,1262,237,1413
isogroup262375,70,843,84,801
isogroup262379,212,1096,205,1184
isogroup262381,605,33,1106,11
isogroup262383,1053,5646,982,5062
isogroup262385,167,1184,121,971
isogroup262386,2307,10362,3197,11064
isogroup262387,831,5536,1252,6139
isogroup262388,47,212,54,274
isogroup262389,256,1547,478,1962
isogroup262391,223,1405,177,1128
isogroup262392,162,1045,272,1489
isogroup262397,682,3311,742,4157
isogroup262404,798,9324,956,8185
isogroup262405,213,1383,370,1713
isogroup262406,367,2007,528,2626
isogroup262407,484,3361,531,2987
isogroup262413,739,4949,1028,4245
isogroup262415,117,881,192,776
isogroup262417,393,2104,524,2196
isogroup262420,1146,6640,1545,7324
isogroup262421,38,239,117,320
isogroup262422,55,433,75,411
isogroup262423,18,88,20,76
isogroup262424,124,552,180,719
isogroup262425,95,676,166,649
isogroup262426,216,1211,320,1364
isogroup262427,49,262,64,349
isogroup262428,40,164,38,125
isogroup262431,641,1936,717,2445
isogroup262436,445,2022,534,1897
isogroup262439,32,53,47,48
isogroup262440,173,1053,281,1486
isogroup262443,147,762,163,811
isogroup262444,3874,22272,5598,28932
isogroup262445,109,391,11,111
isogroup262446,227,1318,195,1205
isogroup262447,254,1388,182,1262
isogroup262448,468,2708,700,3048
isogroup262449,51,310,73,298
isogroup262451,553,2863,663,2852
isogroup262453,88,518,167,467
isogroup262454,321,1868,395,2104
isogroup262455,183,925,283,1260
isogroup262456,1707,7102,2548,8354
isogroup262457,219,1473,378,1536
isogroup262458,78,637,107,712
isogroup262459,61,441,95,471
isogroup262461,623,3767,435,4194
isogroup262463,119,782,122,816
isogroup262469,73,205,10,109
isogroup262470,72,607,83,474
isogroup262472,326,1681,436,1870
isogroup262474,25,266,20,133
isogroup262475,302,1177,353,1234
isogroup262478,393,1899,565,2310
isogroup262479,1746,3218,2656,3341
isogroup262480,178,780,303,787
isogroup262482,324,1645,449,1856
isogroup262483,29,621,34,528
isogroup262485,443,1905,517,1953
isogroup262486,57,321,44,241
isogroup262490,178,1047,201,1062
isogroup262494,252,1552,303,1390
isogroup262497,360,1294,357,1271
isogroup262501,1043,5936,1310,5648
isogroup262503,169,798,297,1075
isogroup262504,125,534,87,424
isogroup262505,1018,5459,1436,6302
isogroup262510,174,890,274,846
isogroup262515,121,424,179,534
isogroup262516,94,814,128,815
isogroup262517,1583,7449,2354,8424
isogroup262518,110,624,71,520
isogroup262519,766,4242,1070,5130
isogroup262520,347,2794,606,2977
isogroup262522,543,3297,754,3871
isogroup262523,626,3823,835,4916
isogroup262526,464,7932,791,8716
isogroup262531,186,826,156,908
isogroup262532,56,566,113,489
isogroup262533,738,4454,798,3601
isogroup262534,71,604,55,409
isogroup262537,25,112,35,209
isogroup262538,194,1184,185,1185
isogroup262539,1656,10409,1800,10669
isogroup262540,340,1832,566,2090
isogroup262541,249,1463,267,1113
isogroup262542,301,1717,316,1476
isogroup262543,521,1918,544,2480
isogroup262544,404,6155,315,4194
isogroup262546,578,3987,929,4905
isogroup262547,223,1087,215,1069
isogroup262548,110,412,64,300
isogroup262550,255,752,307,779
isogroup262552,224,1282,293,1334
isogroup262554,59,669,61,333
isogroup262555,585,3327,927,3966
isogroup262557,45,372,30,363
isogroup262558,146,1165,272,1444
isogroup262559,72,362,42,192
isogroup262560,204,926,138,970
isogroup262562,92,589,171,673
isogroup262564,76,437,44,255
isogroup262567,699,4806,1112,5832
isogroup262568,404,2150,596,2140
isogroup262571,513,2894,620,2401
isogroup262576,397,2189,669,2929
isogroup262580,245,1478,821,4201
isogroup262581,46,344,30,357
isogroup262582,115,456,124,599
isogroup262583,119,454,107,457
isogroup262585,2141,9333,2068,7008
isogroup262586,304,2223,389,2480
isogroup262588,127,829,176,1121
isogroup262591,38,225,36,234
isogroup262592,3886,18119,5190,20250
isogroup262594,13,110,32,75
isogroup262595,28,270,51,282
isogroup262596,40,209,59,336
isogroup262599,66,356,62,383
isogroup262600,321,2098,553,2823
isogroup262603,44,417,86,481
isogroup262604,5252,36969,7104,43571
isogroup262605,168,1639,268,1145
isogroup262606,129,789,190,961
isogroup262607,75,476,101,511
isogroup262608,95,681,117,677
isogroup262610,671,3812,753,5313
isogroup262611,36,182,52,226
isogroup262612,323,1909,410,1844
isogroup262616,180,1188,150,1391
isogroup262619,131,723,250,973
isogroup262622,179,921,302,1206
isogroup262623,452,1661,336,1647
isogroup262624,415,3105,483,2802
isogroup262630,82,474,53,405
isogroup262633,710,4525,976,4381
isogroup262634,125,740,189,915
isogroup262637,646,4150,184,1074
isogroup262640,419,2032,621,2931
isogroup262643,90,674,69,487
isogroup262644,10,102,44,173
isogroup262646,225,1180,398,1913
isogroup262649,136,627,207,774
isogroup262651,190,1212,91,523
isogroup262652,238,945,209,1064
isogroup262653,185,1137,322,1880
isogroup262655,145,824,182,974
isogroup262656,2560,12755,3806,16058
isogroup262657,361,2371,434,2167
isogroup262658,110,648,122,738
isogroup262662,922,5143,990,4499
isogroup262663,34,255,23,144
isogroup262665,351,1548,490,1868
isogroup262667,26,221,64,285
isogroup262668,111,542,198,613
isogroup262669,529,3131,728,3078
isogroup262670,117,841,220,771
isogroup262672,26,145,27,126
isogroup262673,203,1058,185,879
isogroup262674,148,962,191,994
isogroup262675,151,394,80,632
isogroup262676,198,1071,208,1067
isogroup262677,84,298,72,352
isogroup262679,50,249,42,230
isogroup262682,759,6565,1025,5621
isogroup262684,205,669,352,1029
isogroup262688,96,1101,123,801
isogroup262690,230,876,371,1030
isogroup262691,88,530,97,424
isogroup262696,544,2700,778,3701
isogroup262697,40,235,25,168
isogroup262698,1847,9056,2337,10852
isogroup262699,2137,7534,2277,8973
isogroup2627,1,9,3,13
isogroup262700,65,215,172,530
isogroup262706,986,5616,1098,6729
isogroup262708,611,4052,797,4401
isogroup262709,83,385,4,87
isogroup262710,1220,7424,1648,7590
