,Control_1,Hot_1,Control_2,Hot_2
isogroup146870,0,44,0,39
isogroup146871,0,0,1,0
isogroup146959,2,13,3,11
isogroup147041,5,19,4,25
isogroup147049,4,30,0,0
isogroup147127,1,12,6,14
isogroup147185,3,15,2,8
isogroup147187,2,44,3,7
isogroup147241,3,26,0,5
isogroup14729,0,0,1,0
isogroup147498,0,27,2,4
isogroup147505,7,18,6,0
isogroup147585,0,0,2,0
isogroup147818,1,4,5,2
isogroup14792,2,5,0,4
isogroup14793,3,24,1,16
isogroup147936,13,43,2,43
isogroup148042,1,22,0,17
isogroup148158,1,58,6,17
isogroup14824,4,39,7,9
isogroup148315,0,0,1,0
isogroup14872,0,21,0,44
isogroup148746,2,15,1,11
isogroup148796,4,15,21,25
isogroup148833,142,3,166,0
isogroup148912,3,100,12,23
isogroup149011,1,9,3,5
isogroup149138,2,13,3,13
isogroup149372,120,3,115,0
isogroup149454,0,9,2,11
isogroup149531,6,13,4,18
isogroup149708,3,41,4,7
isogroup149712,1,3,4,25
isogroup14980,5,10,2,3
isogroup150089,2,18,1,23
isogroup150199,1,38,1,7
isogroup150356,5,24,1,15
isogroup150415,1,47,11,17
isogroup150592,1,47,1,12
isogroup150633,5,2,0,0
isogroup150730,8,10,3,24
isogroup150826,0,10,2,37
isogroup150868,5,13,5,8
isogroup151009,8,44,2,40
isogroup151116,1,4,4,22
isogroup151213,17,43,15,51
isogroup151513,3,32,2,17
isogroup151727,2,8,2,8
isogroup151822,79,3,101,1
isogroup151865,2,18,0,16
isogroup151872,176,6,201,1
isogroup151900,0,4,0,56
isogroup152033,0,5,3,51
isogroup152119,1,34,2,17
isogroup152231,10,65,6,34
isogroup152235,1,0,0,2
isogroup152266,8,24,4,17
isogroup152307,2,25,4,25
isogroup152481,7,9,0,2
isogroup152491,1,1,0,0
isogroup152503,67,0,38,0
isogroup152520,1,5,6,3
isogroup152641,0,0,0,0
isogroup152713,152,3,220,2
isogroup152727,0,6,1,6
isogroup152744,0,0,0,0
isogroup152760,8,55,15,38
isogroup152835,120,2,130,0
isogroup152849,11,46,13,56
isogroup152948,31,178,20,175
isogroup152973,12,63,16,46
isogroup153029,294,1442,470,1767
isogroup153058,4,48,5,38
isogroup153144,27,42,39,32
isogroup153194,1,15,4,9
isogroup153280,127,6,132,1
isogroup153331,138,4,113,0
isogroup153411,18,244,37,64
isogroup153436,2,52,6,58
isogroup153473,1,11,1,9
isogroup153474,2,9,1,16
isogroup153510,0,6,2,15
isogroup153515,24,1,37,1
isogroup153568,13,289,26,79
isogroup153581,380,7,252,4
isogroup153660,2,10,3,13
isogroup153669,0,20,0,6
isogroup153685,0,0,1,0
isogroup153712,48,1,66,0
isogroup153788,12,63,7,52
isogroup153877,147,1,155,0
isogroup153891,32,171,59,231
isogroup153945,71,0,64,0
isogroup153959,0,8,2,10
isogroup153960,214,1,174,0
isogroup154063,404,2277,510,2284
isogroup154085,8,45,11,60
isogroup154150,3,0,1,0
isogroup154200,44,1,63,0
isogroup154213,4,75,6,28
isogroup154331,10,43,46,152
isogroup154338,0,3,0,67
isogroup154408,90,5,150,0
isogroup154415,0,0,0,0
isogroup154502,48,1,50,0
isogroup154528,141,14,228,0
isogroup154566,120,2,122,0
isogroup154594,40,348,63,81
isogroup154679,125,4,95,0
isogroup154782,35,0,33,0
isogroup154808,6,31,8,32
isogroup154850,1,12,1,8
isogroup154875,194,25,183,11
isogroup154968,306,1265,425,1454
isogroup154971,64,4,99,2
isogroup154974,4,9,0,5
isogroup155046,76,6,83,0
isogroup155089,2,36,4,24
isogroup155132,178,2,220,0
isogroup155192,69,1,95,1
isogroup155197,1,0,1,0
isogroup155243,1,0,1,0
isogroup155367,107,4,125,1
isogroup155403,0,50,6,14
isogroup155459,2,2,5,3
isogroup155525,128,2,104,1
isogroup155551,3,12,1,3
isogroup155574,3,8,1,3
isogroup155592,2,4,2,8
isogroup155622,13,68,13,76
isogroup155703,10,0,7,0
isogroup155834,67,168,94,233
isogroup155871,101,3,96,0
isogroup155895,3,19,5,22
isogroup155912,18,96,7,60
isogroup155934,4,3,5,7
isogroup156021,46,1,66,0
isogroup156027,43,1,49,1
isogroup156061,5,12,4,24
isogroup156215,1,14,1,6
isogroup156302,12,265,19,53
isogroup156481,4,11,4,18
isogroup156540,2,4,4,4
isogroup156573,52,5,47,1
isogroup156575,358,5,168,1
isogroup156584,31,0,62,1
isogroup156658,5,36,3,31
isogroup156802,4,21,6,36
isogroup156839,2,60,6,24
isogroup156846,111,1,170,0
isogroup156857,6,13,7,21
isogroup156910,1,129,9,36
isogroup157017,1,11,2,26
isogroup157058,3,13,1,5
isogroup157095,23,115,10,88
isogroup157193,53,3,57,0
isogroup157242,156,17,153,1
isogroup157265,114,7,82,1
isogroup157301,0,0,0,0
isogroup157472,1,12,0,18
isogroup157515,8,14,1,6
isogroup157573,28,240,12,169
isogroup157631,3,1,3,29
isogroup157663,20,315,26,95
isogroup157759,225,1195,265,1277
isogroup157783,7,3,1,4
isogroup157806,19,504,44,132
isogroup157834,154,3,158,3
isogroup157863,0,0,0,0
isogroup157931,93,0,80,2
isogroup157993,87,1,107,2
isogroup158038,1,2,0,8
isogroup158046,16,74,16,134
isogroup158048,193,354,318,641
isogroup158206,22,127,26,138
isogroup158209,46,190,28,152
isogroup158219,65,0,87,1
isogroup158261,0,0,23,1
isogroup158356,19,1,23,0
isogroup158581,11,277,29,60
isogroup158662,0,2,2,18
isogroup158685,13,217,21,67
isogroup158770,2,8,1,5
isogroup158813,4,0,1,5
isogroup158838,72,7,73,0
isogroup15885,0,33,1,11
isogroup158858,119,1,119,0
isogroup158912,161,1103,275,1594
isogroup158913,12,84,8,83
isogroup158916,6,9,9,18
isogroup158957,30,0,57,0
isogroup158989,168,3,162,1
isogroup159057,93,4,99,0
isogroup159104,17,362,31,100
isogroup159182,4,0,93,0
isogroup159246,55,0,54,1
isogroup159296,21,96,11,55
isogroup159345,16,24,11,40
isogroup159402,137,3,151,0
isogroup159416,2,26,7,23
isogroup159464,10,1,14,0
isogroup159486,3,10,2,4
isogroup159514,5,0,1,0
isogroup159690,0,2,2,4
isogroup159699,2,17,3,18
isogroup159771,6,39,1,21
isogroup159791,9,62,6,63
isogroup159809,237,1100,356,1659
isogroup159824,23,103,6,55
isogroup159873,575,12,341,2
isogroup159908,3,0,7,2
isogroup159959,6,362,46,122
isogroup160097,95,412,205,706
isogroup160162,10,78,6,68
isogroup160192,1,9,2,17
isogroup160233,15,127,17,76
isogroup160242,263,5,396,0
isogroup160446,114,2,96,0
isogroup160506,67,0,67,0
isogroup160542,60,0,57,0
isogroup160615,0,0,0,0
isogroup160685,51,2,68,1
isogroup160864,0,7,0,76
isogroup160894,4,7,2,13
isogroup16093,0,1,1,33
isogroup160958,4,9,1,7
isogroup160960,105,0,126,1
isogroup160968,2,11,1,5
isogroup161032,110,7,119,2
isogroup161041,1,4,1,10
isogroup161156,104,2,135,0
isogroup161201,4,2,3,0
isogroup161223,474,8,658,0
isogroup161370,1,0,1,0
isogroup161381,3,4,2,0
isogroup161413,60,3,22,1
isogroup161420,101,1,87,0
isogroup161534,0,7,0,0
isogroup161623,39,189,45,38
isogroup161722,165,23,136,3
isogroup161734,156,3,108,2
isogroup161759,2,11,1,16
isogroup161775,1,27,0,6
isogroup162108,10,23,8,50
isogroup162152,0,14,4,28
isogroup162176,49,2,67,1
isogroup162179,0,0,0,0
isogroup162207,33,151,23,139
isogroup162395,0,0,0,0
isogroup162444,1,23,1,14
isogroup162514,1,14,5,9
isogroup162535,7,33,7,17
isogroup162542,93,3,87,1
isogroup162575,33,0,44,0
